session_id,total_pnl,emerald_pnl,tomato_pnl,emerald_position,tomato_position,emerald_cash,tomato_cash,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2
78,13335.0,6890.0,6445.0,-17,24,176890.0,-112469.0,1.3359014657985147,0.9926327918410626,0.7103027242370272,0.9980317849440773,0.6255987415614874,0.9750835405536753
79,15317.0,7464.0,7853.0,16,0,-152536.0,7853.0,1.5147953509839536,0.9979467729852816,0.7116206657102067,0.9940701876060475,0.8031746852737468,0.9957848016837723
80,16613.0,8244.0,8369.0,9,32,-81756.0,-150519.0,1.564062603787626,0.9950743147886245,0.8344498873724989,0.9987534236336015,0.7296127164151271,0.9761591112823177
81,14243.75,7053.0,7190.75,1,5,-2947.0,-17728.0,1.4515844447448445,0.9977434631402589,0.7109555257135552,0.9989728500317295,0.7406289190312892,0.9927829911390428
82,16121.0,7393.0,8728.0,29,30,-282607.0,-144467.0,1.6236295187732952,0.9966738128667291,0.719131706097317,0.9971759929129272,0.9044978126759782,0.9904889990814791
83,14949.0,7345.0,7604.0,-16,19,167345.0,-89904.0,1.4708389786058897,0.990002554576504,0.7298766851907669,0.9952319298126003,0.740962293415123,0.9807985622648705
84,15123.0,7604.0,7519.0,-38,28,387604.0,-132824.0,1.567295600730956,0.9961800686348294,0.7793077406450774,0.9951545656399786,0.7879878600858786,0.9943275204643908
85,15897.0,6499.0,9398.0,17,16,-163501.0,-70790.0,1.7541320248263204,0.9598946619687535,0.6559886380758864,0.9947517432738425,1.0981433867504338,0.9198909988931687
86,15305.0,7712.0,7593.0,-17,25,177712.0,-117707.0,1.5397057233730573,0.9959291167407419,0.7794717801007178,0.9974365641656637,0.7602339432723394,0.9911490924787859
87,15585.0,7637.0,7948.0,1,28,-2363.0,-132171.0,1.5751618559671186,0.9988407807013657,0.7739505954655059,0.9930627447228131,0.8012112605016126,0.9935027399380887
88,15225.5,7302.0,7923.5,14,37,-132698.0,-177650.0,1.499544109141441,0.9977341889749277,0.7376734918827349,0.9967982522735311,0.7618706172587062,0.9890690523508179
89,13744.5,7350.0,6394.5,-5,27,57350.0,-127053.0,1.3603110920291108,0.9943268807299176,0.7330273183542731,0.9945691522983123,0.6272837736748378,0.9778241520722413
90,14278.0,7451.0,6827.0,19,11,-182549.0,-47744.0,1.523223894959739,0.9871867715068511,0.768437101702371,0.986297354999795,0.754786793257368,0.9850528622024123
91,14320.25,7483.0,6837.25,19,29,-182517.0,-136894.0,1.351030694632307,0.9943966431685589,0.7644391554003915,0.9960093269694346,0.5865915392319154,0.9685463440232799
92,15236.5,7037.0,8199.5,2,26,-12963.0,-121469.0,1.4891309176088092,0.9980166312878519,0.7023475837474759,0.9965580827831294,0.7867833338613334,0.99041461116892
93,17131.5,7429.0,9702.5,13,21,-122571.0,-96211.0,1.7291566166425663,0.9935168201196738,0.7704443892364439,0.9960981273275028,0.9587122274061223,0.9794000599743132
94,15341.0,8045.0,7296.0,28,27,-271955.0,-126273.0,1.5863623847396238,0.9790891896755429,0.7723888614198886,0.9974550958483854,0.8139735233197353,0.9396395334421672
95,15073.75,7857.0,7216.75,23,31,-222143.0,-145807.0,1.6095692741166927,0.9925607669796355,0.8183588499415885,0.9918554965462888,0.7912104241751042,0.9825818866031562
96,14536.0,8133.0,6403.0,-22,4,228133.0,-13091.0,1.479586703354867,0.9991841618722335,0.8498483612424836,0.9969463741705398,0.6297383421123834,0.9952159993658347
97,16632.5,8093.0,8539.5,-26,-7,268093.0,43886.0,1.657213889452639,0.99665484439025,0.8002363968463639,0.9985150791019342,0.8569774926062749,0.9887980549196813
98,13858.25,6937.0,6921.25,18,35,-173063.0,-164990.0,1.3889008332665083,0.9960822077328801,0.7047201235952012,0.9967046682907191,0.6841807096713071,0.9906374677327681
99,13574.5,7284.0,6290.5,-17,18,177284.0,-83318.0,1.3338630157131302,0.9981331678988881,0.7290437444644374,0.9978718293907124,0.6048192712486927,0.9930619041348759
